корова	молоко	214.7
пляж	песок	201.3
море	пляж	156.7
ночь	день	152.2
путь	дорога	151.7
любовь	секс	139.9
вода	море	130.8
секс	страсть	123.0
луч	солнце	120.4
лето	жара	118.2
земля	планета	115.1
радость	смех	113.0
холод	зима	112.9
радость	счастье	109.6
война	мир	107.1
уют	дом	106.9
космос	вселенная	106.1
море	песок	106.0
ужас	страх	104.3
зима	снег	103.8
россия	страна	102.3
часы	время	100.4
вода	жидкость	99.2
грусть	тоска	96.8
жизнь	смерть	96.4
вода	река	94.1
жажда	вода	93.3
солнце	свет	91.7
жара	солнце	91.6
мать	отец	90.3
тоска	печаль	86.7
луч	свет	85.5
грусть	печаль	85.3
запах	вонь	84.3
лес	дерево	82.9
страсть	любовь	80.5
воля	сила	78.5
сон	ночь	77.2
небо	солнце	77.1
задача	решение	75.8
путин	президент	75.6
москва	столица	74.6
птица	полёт	74.0
солнце	звезда	73.2
река	течение	73.0
мужчина	женщина	72.1
радость	улыбка	71.8
счастье	любовь	71.5
крылья	птица	70.2
секс	удовольствие	69.2
ягода	малина	67.8
кровать	сон	67.4
ночь	темнота	67.1
папа	мама	67.1
рана	боль	66.8
полёт	самолёт	66.7
поэт	пушкин	66.6
море	волна	66.2
любовь	чувство	66.1
замок	ключ	65.8
физика	химия	65.1
курица	яйцо	64.7
отдых	море	64.7
ум	разум	64.4
зло	добро	64.2
лёд	вода	63.8
игра	жизнь	63.5
вода	кран	62.4
правда	истина	62.2
преступление	наказание	61.8
лёд	холод	61.5
власть	деньги	60.5
звёзды	небо	59.9
смех	улыбка	59.6
укол	шприц	59.3
земля	шар	59.0
правда	ложь	58.6
фильм	кино	58.6
самолёт	небо	58.4
работа	труд	58.0
лето	солнце	58.0
рай	ад	58.0
ночь	тьма	57.2
сеть	интернет	57.0
секс	оргазм	56.9
огонь	вода	56.5
огонь	костёр	55.9
бег	спорт	55.7
курица	птица	55.6
стол	стул	55.2
девочка	мальчик	55.0
молекула	атом	55.0
космос	звёзды	54.5
перо	птица	53.3
вилка	ложка	53.2
река	волга	52.9
дом	квартира	52.4
сила	мощь	52.2
обман	ложь	52.2
огонь	пламя	51.9
знак	символ	51.7
футбол	мяч	51.5
счастье	улыбка	51.4
уют	тепло	51.2
трава	зелень	51.2
воздух	кислород	51.2
ночь	луна	50.2
овца	шерсть	50.1
масло	бутерброд	49.9
яблоко	фрукт	49.9
клоун	цирк	49.9
природа	лес	49.8
космос	гагарин	49.5
загар	солнце	49.3
осень	листопад	49.0
дорога	асфальт	48.9
письмо	конверт	48.8
праздник	новый год	48.8
боль	страдание	48.8
вопрос	ответ	48.6
врач	доктор	48.5
кисть	рука	48.5
мел	доска	48.4
солнце	тепло	48.1
банк	деньги	47.4
зрение	очки	47.1
молния	гром	46.8
зеркало	отражение	46.8
новый год	ёлка	46.8
еда	пища	46.8
религия	вера	46.7
овощ	фрукт	46.5
радость	веселье	46.2
мир	голубь	46.2
ум	интеллект	46.2
театр	сцена	45.8
сон	отдых	45.7
рельсы	шпалы	45.5
кошмар	сон	45.5
звезда	космос	45.2
жизнь	путь	45.1
осень	листья	45.1
